x,tractCode,deaths,pop,log_rate,log_rate.post.mean
70,25013800700,18,740,-3.7162784283020507,-3.6124099315362845
75,25013800700,21,380,-2.8956488149970085,-3.1663594829581934
80,25013800700,15,260,-2.8526314299133175,-2.6853071787805067
85,25013800700,18,210,-2.456735772821304,-2.1678396327215976
0,25013800800,0,635,-Inf,-8.09476300662599
5,25013800800,0,780,-Inf,-8.613331853760492
10,25013800800,0,850,-Inf,-8.664216388846642
15,25013800800,0,625,-Inf,-8.172807171940088
20,25013800800,0,670,-Inf,-7.380896137768775
25,25013800800,3,605,-5.306616169362732,-6.610513120458389
30,25013800800,3,665,-5.401174751987744,-5.977729214832423
35,25013800800,3,645,-5.3706380281276624,-5.755615808635506
40,25013800800,3,540,-5.19295685089021,-5.621614543046342
45,25013800800,0,600,-Inf,-5.376728206911803
50,25013800800,6,610,-4.621699487939302,-5.10651938999521
55,25013800800,6,645,-4.677490847567718,-4.793010820724066
60,25013800800,9,620,-4.232494900702918,-4.437047227112801
65,25013800800,9,535,-4.085042169559787,-4.044352511945616
70,25013800800,9,355,-3.6748932121391964,-3.616345133875817
75,25013800800,12,270,-3.1135153092103742,-3.1428977806218685
80,25013800800,6,155,-3.2516656476911914,-2.617631510783643
85,25013800800,15,105,-1.9459101490553135,-2.044873566144052
0,25013800900,3,1245,-6.028278520230698,-7.832699383254684
5,25013800900,0,1695,-Inf,-8.355029220202468
10,25013800900,0,2025,-Inf,-8.452123097935882
15,25013800900,0,1690,-Inf,-8.053732148279058
20,25013800900,0,1440,-Inf,-7.369697204032726
25,25013800900,3,1265,-6.044215112493511,-6.682739487509733
30,25013800900,6,1435,-5.4771606589656665,-6.093848741399911
35,25013800900,9,1175,-4.87179884924204,-5.808763503859419
40,25013800900,3,1085,-5.89072297730645,-5.590094797511199
45,25013800900,6,980,-5.095793102436563,-5.31688914290799
50,25013800900,9,930,-4.637960008811082,-5.037124643290724
55,25013800900,9,1160,-4.858950706764191,-4.73298189119251
60,25013800900,12,1145,-4.55825326620034,-4.40350412245572
65,25013800900,30,1210,-3.6971782569286313,-4.03996502619562
70,25013800900,18,1020,-4.037186148382152,-3.6224088081771186
75,25013800900,27,775,-3.357026163349018,-3.1537857898479533
80,25013800900,27,500,-2.9187712324178627,-2.629503105715789
85,25013800900,54,350,-1.8689491079191851,-2.052776831991254
0,25013801101,3,505,-5.12594614060725,-7.055383014048295
5,25013801101,0,380,-Inf,-7.585402247676933
10,25013801101,0,490,-Inf,-7.84793352263084
15,25013801101,0,355,-Inf,-7.789945631131479
20,25013801101,3,670,-5.408665423716902,-7.503314728055048
25,25013801101,0,1230,-Inf,-7.12434981129547
30,25013801101,3,870,-5.66988092298052,-6.699691690129996
35,25013801101,0,655,-Inf,-6.1937322046861825
40,25013801101,3,445,-4.99946199349813,-5.674753765561153
45,25013801101,6,610,-4.621699487939302,-5.299628111868495
50,25013801101,6,665,-4.708027571427799,-4.98334087800505
55,25013801101,9,720,-4.382026634673881,-4.70913144458957
60,25013801101,6,825,-4.923623917106626,-4.472502978340446
65,25013801101,6,635,-4.661865529664636,-4.211635856231886
70,25013801101,12,480,-3.6888794541139363,-3.830125059592824
75,25013801101,6,205,-3.531250509910353,-3.3767839939319577
80,25013801101,6,100,-2.8134107167600364,-2.852699037639787
85,25013801101,9,125,-2.631089159966082,-2.2575234243824203
0,25013801102,3,295,-4.58836306767171,-6.860946410340812
5,25013801102,0,310,-Inf,-7.311855016827012
10,25013801102,0,220,-Inf,-7.553790447194373
15,25013801102,0,300,-Inf,-7.5533107050206
20,25013801102,0,570,-Inf,-7.3686124283948455
